COMMUNE;nomcom;CODE_REG;dist;long;lat;superficie;LIBEPCI;libuu2020;DEP;REG;emp;actifs;PTOT
72175;Luché-Pringé;52;134,2466733;0,095388757;47,70388788;49,55122133;CC Sud Sarthe;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;462,2120619;690;1554
72176;Le Lude;52;135,6004874;0,150396557;47,64023283;68,88404362;CC Sud Sarthe;Le Lude;Sarthe;Pays de la Loire;1535,436868;1360,143627;4197
72177;Maigné;52;136,8631384;-0,054728606;47,9388717;11,09394524;CC Loué - Brûlon - Noyen;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;167,3866858;201,5404489;358
72178;Maisoncelles;52;177,6974868;0,577134889;47,93792522;11,2412846;CC Le Gesnois Bilurien;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;19,89637306;79,58549223;192
72179;Malicorne-sur-Sarthe;52;127,299076;-0,087453901;47,81255449;15,06601067;CC du Val de Sarthe;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;318,5388194;794,6125265;1918
72180;Mamers;52;190,1000446;0,37078292;48,35453107;5,454580708;CC Maine Saosnois;Mamers;Sarthe;Pays de la Loire;2910,524753;1598,452963;5328
72181;Le Mans;52;155,7532917;0,200030516;47,98852551;52,85722849;CU Le Mans Métropole;Le Mans;Sarthe;Pays de la Loire;82759,53893;52338,88882;146703
72182;Mansigné;52;138,5089245;0,13366319;47,74135267;36,34887009;CC Sud Sarthe;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;454,2534828;655,1639201;1573
72183;Marçon;52;164,6083704;0,526672763;47,70503664;30,75937731;CC Loir-Lucé-Bercé;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;183,9082132;401,281188;1084
72184;Mareil-en-Champagne;52;132,1897875;-0,178957163;47,98060786;7,85816302;CC Loué - Brûlon - Noyen;Loué;Sarthe;Pays de la Loire;134,6076446;177,9362258;390
72185;Mareil-sur-Loir;52;128,9491993;0,007801898;47,72016733;11,85693426;CC du Pays Fléchois;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;58,35156115;285,928943;670
72186;Maresché;52;166,9036334;0,149447193;48,20558084;15,17857301;CC Haute Sarthe Alpes Mancelles;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;242,310715;426,0348074;898
72187;Marigné-Laillé;52;156,8858174;0,352156916;47,81804403;33,31828393;CC Orée de Bercé - Belinois;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;229,3716984;700;1628
72188;Marollette;52;191,2588288;0,363054801;48,37649313;5,661351058;CC Maine Saosnois;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;5;65;153
72189;Marolles-les-Braults;52;179,7642583;0,317356554;48,25133586;24,34687324;CC Maine Saosnois;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;1245,373383;750,8438994;2135
72190;Marolles-lès-Saint-Calais;52;191,4929101;0,793391253;47,91746972;12,16658655;CC des Vallées de la Braye et de l'Anille;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;126,1459145;134,5143885;281
72191;Mayet;52;149,5584976;0,279819372;47,76424082;53,66763165;CC Sud Sarthe;Mayet;Sarthe;Pays de la Loire;992,0784306;1146,350841;3159
72192;Les Mées;52;179,5031962;0,234400132;48,31366386;7,040353956;CC Maine Saosnois;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;4,708737864;37,66990291;97
72193;Melleray;52;201,2317171;0,813535413;48,09492582;25,48071741;CC du Pays de l'Huisne Sarthoise;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;74,85747577;214,5399564;437
72194;Meurcé;52;172,1322776;0,201724815;48,2372339;6,159738149;CC Maine Saosnois;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;54,97525925;110;269
72195;Mézeray;52;132,8784409;-0,015883379;47,8295768;33,36719577;CC du Val de Sarthe;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;196,380826;864,6087426;1902
72196;Mézières-sur-Ponthouin;52;175,2769563;0,297931091;48,20223589;17,8949573;CC Maine Saosnois;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;188,7076078;324,1393443;738
72197;Mézières-sous-Lavardin;52;157,6029125;0,047755435;48,15626721;15,53110544;CC de la Champagne Conlinoise et du Pays de Sillé;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;59,72516272;293,9559688;694
72198;La Milesse;52;156,6448115;0,135919006;48,06671725;10,63634841;CU Le Mans Métropole;Le Mans;Sarthe;Pays de la Loire;533,4524574;1162,398964;2673
72199;Moitron-sur-Sarthe;52;164,9958786;0,060340679;48,24733073;10,30407483;CC Haute Sarthe Alpes Mancelles;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;43,18617801;111,8129771;282
72200;Moncé-en-Belin;52;150,4247298;0,196355736;47,898235;17,75207871;CC Orée de Bercé - Belinois;Le Mans;Sarthe;Pays de la Loire;471,0798287;1752,656056;3765
72201;Moncé-en-Saosnois;52;185,4149712;0,388673037;48,27316829;8,845096779;CC Maine Saosnois;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;25,22187031;115;263
72202;Monhoudou;52;182,7864691;0,326162649;48,28739616;7,691710047;CC Maine Saosnois;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;9,972365762;92,70531401;209
72204;Montaillé;52;185,8364241;0,685903132;47,95496017;30,56761712;CC des Vallées de la Braye et de l'Anille;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;97,62006184;242,8027344;527
72205;Montbizot;52;165,1523771;0,182399044;48,15306395;11,63489516;CC Maine Coeur de Sarthe;Sainte-Jamme-sur-Sarthe;Sarthe;Pays de la Loire;289,1032258;850;1830
72208;Montmirail;52;199,1068814;0,771306865;48,10725046;12,38458556;CC du Pays de l'Huisne Sarthoise;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;155,7582567;180;383
72209;Montreuil-le-Chétif;52;159,2099473;-0,038411589;48,2411166;15,18516323;CC Haute Sarthe Alpes Mancelles;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;35,64836973;120,7637214;305
72210;Montreuil-le-Henri;52;173,8576933;0,571664432;47,86190385;14,43214368;CC Loir-Lucé-Bercé;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;35,15750593;155,8560611;309
72211;Mont-Saint-Jean;52;155,4888459;-0,113254805;48,24359561;43,07741888;CC de la Champagne Conlinoise et du Pays de Sillé;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;80,39603877;232,8865894;649
72212;Moulins-le-Carbonnel;52;171,0703416;-0,013192081;48,37351507;16,4516161;CC Haute Sarthe Alpes Mancelles;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;123,2625673;351,6727381;712
72213;Mulsanne;52;154,6404267;0,244158262;47,91863715;14,93710653;CU Le Mans Métropole;Le Mans;Sarthe;Pays de la Loire;1421,790535;2118,58815;5288
72214;Nauvay;52;184,4025623;0,393397365;48,25418052;2,495213636;CC Maine Saosnois;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;;4,545454545;12
72215;Neufchâtel-en-Saosnois;52;185,6223702;0,245183258;48,38756242;22,87817257;CC Maine Saosnois;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;136,9085091;440;1046
72216;Neuvillalais;52;154,3451222;-0,007261061;48,15406984;18,41865078;CC de la Champagne Conlinoise et du Pays de Sillé;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;79,98323542;265;609
72217;Neuville-sur-Sarthe;52;161,9806774;0,21440595;48,07564392;22,8792153;CC Maine Coeur de Sarthe;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;427,7174046;1043,999082;2496
72218;Neuvillette-en-Charnie;52;138,3723734;-0,207010585;48,08749825;14,5823057;CC de la Champagne Conlinoise et du Pays de Sillé;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;30,22629973;125;295
72219;Bernay-Neuvy-en-Champagne;52;147,1403794;-0,035976706;48,07624388;25,49581954;CC de la Champagne Conlinoise et du Pays de Sillé;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;175,5605384;427,1312616;932
72220;Nogent-le-Bernard;52;189,9999097;0,503482635;48,23950217;31,0860379;CC Maine Saosnois;Commune hors unité urbaine du département 72;Sarthe;Pays de la Loire;230,9045823;347,2242459;939
